id,text,label,question_token1,question1,question_token2,question2,options,concept_guided_prompt,complete_question,response
1,The janitor reprimanded the accountant because she made a mistake filing paperwork.,accountant,she,Who does 'she' refer to?,,,"['janitor', 'accountant']","Question: - The janitor reprimanded the accountant because she made a mistake filing paperwork. Who does 'she' refer to?
Options: - ['janitor', 'accountant']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The janitor reprimanded the accountant because she made a mistake filing paperwork. Who does 'she' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""janitor"",
      ""description"": ""A person employed to clean and maintain buildings.""
    },
    {
      ""name"": ""accountant"",
      ""description"": ""A person who records and analyzes financial transactions for a business or individual.""
    },
    {
      ""name"": ""mistake filing paperwork"",
      ""description"": ""An error in the process of organizing and storing documents.""
    },
    {
      ""name"": ""reprimanded"",
      ""description"": ""To scold or rebuke someone for a fault or mistake.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""janitor"",
      ""relationship"": ""reprimanded"",
      ""related_concept"": ""accountant"",
      ""description"": ""The janitor scolded the accountant.""
    },
    {
      ""concept"": ""accountant"",
      ""relationship"": ""made mistake"",
      ""related_concept"": ""mistake filing paperwork"",
      ""description"": ""The accountant is responsible for the error in filing paperwork.""
    },
    {
      ""concept"": ""mistake filing paperwork"",
      ""relationship"": ""reason for reprimand"",
      ""related_concept"": ""reprimanded"",
      ""description"": ""The mistake in filing paperwork is the reason for the reprimand.""
    }
  ]
}

[your answer]
{
  ""answer"": ""accountant"",
  ""reasoning"": ""The sentence structure implies that the accountant is the one who made a mistake, leading to the reprimand
from the janitor. Therefore, 'she' refers to the accountant.""
}
</s>"
2,The carpenter always ask the librarian for help because he can only recognize a few words.,carpenter,he,Who does 'he' refer to?,,,"['carpenter', 'librarian']","Question: - The carpenter always ask the librarian for help because he can only recognize a few words. Who does 'he' refer to?
Options: - ['carpenter', 'librarian']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The carpenter always ask the librarian for help because he can only recognize a few words. Who does 'he' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""carpenter"",
      ""description"": ""A skilled worker who makes or repairs things using wood or other materials.""
    },
    {
      ""name"": ""librarian"",
      ""description"": ""A person responsible for looking after books and helping people find the books they want.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""carpenter"",
      ""relationship"": ""asks for help"",
      ""related_concept"": ""librarian"",
      ""description"": ""The carpenter seeks assistance from the librarian.""
    },
    {
      ""concept"": ""librarian"",
      ""relationship"": ""provides help"",
      ""related_concept"": ""carpenter"",
      ""description"": ""The librarian offers assistance to the carpenter.""
    }
  ]
}

[your answer]
{
  ""answer"": ""carpenter"",
  ""reasoning"": ""The sentence structure implies that the subject 'he' refers to the person who is asking for help, which is
the carpenter. The carpenter is the one with limited recognition, hence he seeks assistance from the librarian.""
}
</s>"
3,The carpenter always asks the librarian for help because she knows a lot of words.,librarian,she,Who does 'she' refer to?,,,"['librarian', 'carpenter']","Question: - The carpenter always asks the librarian for help because she knows a lot of words. Who does 'she' refer to?
Options: - ['librarian', 'carpenter']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The carpenter always asks the librarian for help because she knows a lot of words. Who does 'she' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""carpenter"",
      ""description"": ""A skilled worker who makes or repairs things using wood or other materials.""
    },
    {
      ""name"": ""librarian"",
      ""description"": ""A person responsible for looking after books and other items in a library and helping people find the
information they want.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""carpenter"",
      ""relationship"": ""asks for help"",
      ""related_concept"": ""librarian"",
      ""description"": ""The carpenter seeks assistance from the librarian.""
    },
    {
      ""concept"": ""librarian"",
      ""relationship"": ""knows"",
      ""related_concept"": ""words"",
      ""description"": ""The librarian has extensive knowledge of words.""
    }
  ]
}

[your answer]
{
  ""answer"": ""librarian"",
  ""reasoning"": ""The carpenter asks the librarian for help because the librarian is implied to know a lot of words, which is
the context of the question. The carpenter's profession does not inherently imply extensive knowledge of words, making the
librarian the correct answer.""
}
</s>"
4,The physician wanted to meet the counselor because he had some questions about his responsibility in the medical accident.,physician,he,Who does 'he' refer to?,his,Who does 'his' refer to?,"['physician', 'counselor']","Question: - The physician wanted to meet the counselor because he had some questions about his responsibility in the medical accident. Who does 'he' refer to?
Options: - ['physician', 'counselor']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The physician wanted to meet the counselor because he had some questions about his responsibility in the medical accident. Who does 'he' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""physician"",
      ""description"": ""A medical doctor""
    },
    {
      ""name"": ""counselor"",
      ""description"": ""A person trained to give advice and guidance""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""physician"",
      ""relationship"": ""wants to meet"",
      ""related_concept"": ""counselor"",
      ""description"": ""The physician has a desire to engage with the counselor""
    },
    {
      ""concept"": ""physician"",
      ""relationship"": ""has questions"",
      ""related_concept"": ""responsibility in medical accident"",
      ""description"": ""The physician is inquiring about his role in the medical incident""
    },
    {
      ""concept"": ""counselor"",
      ""relationship"": ""is a source of advice"",
      ""related_concept"": ""responsibility in medical accident"",
      ""description"": ""The counselor is considered to provide guidance on the matter of responsibility""
    }
  ]
}

[your answer]
{
  ""answer"": ""physician"",
  ""reasoning"": ""The sentence structure indicates that the physician is the subject who wants to meet the counselor to discuss
his responsibilities in the medical accident. Therefore, 'he' refers to the physician.""
}
</s>"
5,The physician wanted to meet the counselor because she has more experience about medical accidents.,counselor,she,Who does 'she' refer to?,,,"['counselor', 'physician']","Question: - The physician wanted to meet the counselor because she has more experience about medical accidents. Who does 'she' refer to?
Options: - ['counselor', 'physician']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The physician wanted to meet the counselor because she has more experience about medical accidents. Who does 'she' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""physician"",
      ""description"": ""A medical doctor""
    },
    {
      ""name"": ""counselor"",
      ""description"": ""A person trained to give advice and guidance""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""physician"",
      ""relationship"": ""wants to meet"",
      ""related_concept"": ""counselor"",
      ""description"": ""The physician wants to meet the counselor""
    },
    {
      ""concept"": ""counselor"",
      ""relationship"": ""has more experience"",
      ""related_concept"": ""medical accidents"",
      ""description"": ""The counselor has more experience about medical accidents""
    }
  ]
}

[your answer]
{
  ""answer"": ""counselor"",
  ""reasoning"": ""The sentence implies that the physician wants to meet the counselor because the counselor has more experience
about medical accidents. Therefore, 'she' refers to the counselor, as the context suggests that the counselor's experience is
the reason for the meeting.""
}
</s>"
6,The carpenter owed the counselor some money and he had to do more work to pay the debt.,carpenter,he,Who does 'he' refer to?,,,"['carpenter', 'counselor']","Question: - The carpenter owed the counselor some money and he had to do more work to pay the debt. Who does 'he' refer to?
Options: - ['carpenter', 'counselor']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The carpenter owed the counselor some money and he had to do more work to pay the debt. Who does 'he' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""carpenter"",
      ""description"": ""A skilled worker who makes or repairs things from wood.""
    },
    {
      ""name"": ""counselor"",
      ""description"": ""A person trained to give advice and guidance to individuals or groups.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""carpenter"",
      ""relationship"": ""owes money to"",
      ""related_concept"": ""counselor"",
      ""description"": ""The carpenter has a financial debt to the counselor.""
    },
    {
      ""concept"": ""carpenter"",
      ""relationship"": ""needs to do work"",
      ""related_concept"": ""pay debt"",
      ""description"": ""The carpenter must perform additional tasks to clear the debt.""
    },
    {
      ""concept"": ""pay debt"",
      ""relationship"": ""satisfies"",
      ""related_concept"": ""counselor"",
      ""description"": ""Completing work to pay the debt benefits the counselor by receiving payment.""
    }
  ]
}

[your answer]
{
  ""answer"": ""carpenter"",
  ""reasoning"": ""The sentence structure implies that the carpenter is the one who owes money to the counselor and needs to do
more work to pay off this debt. Therefore, 'he' refers to the carpenter.""
}
</s>"
7,The carpenter owed the counselor some money and she never asked for any interest.,counselor,she,Who does 'she' refer to?,,,"['carpenter', 'counselor']","Question: - The carpenter owed the counselor some money and she never asked for any interest. Who does 'she' refer to?
Options: - ['carpenter', 'counselor']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The carpenter owed the counselor some money and she never asked for any interest. Who does 'she' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""carpenter"",
      ""description"": ""A skilled worker who makes or repairs things from wood or other materials.""
    },
    {
      ""name"": ""counselor"",
      ""description"": ""A person trained to give advice and guidance to individuals or groups.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""carpenter"",
      ""relationship"": ""owes money to"",
      ""related_concept"": ""counselor"",
      ""description"": ""The carpenter is in debt to the counselor.""
    },
    {
      ""concept"": ""counselor"",
      ""relationship"": ""does not ask for"",
      ""related_concept"": ""interest"",
      ""description"": ""The counselor does not request additional payment for the loan.""
    }
  ]
}

[your answer]
{
  ""answer"": ""counselor"",
  ""reasoning"": ""The sentence structure implies that the carpenter owes money to the counselor, and the counselor is the one
who does not ask for interest. Therefore, 'she' refers to the counselor, as she is the one who is owed money and does not
request interest.""
}
</s>"
8,The janitor caught the cashier stealing the money and he reported it to the boss.,janitor,he,Who does 'he' refer to?,,,"['janitor', 'cashier']","Question: - The janitor caught the cashier stealing the money and he reported it to the boss. Who does 'he' refer to?
Options: - ['janitor', 'cashier']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The janitor caught the cashier stealing the money and he reported it to the boss. Who does 'he' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""janitor"",
      ""description"": ""A person employed to clean and maintain buildings.""
    },
    {
      ""name"": ""cashier"",
      ""description"": ""A person who operates a cash register and receives money from customers.""
    },
    {
      ""name"": ""boss"",
      ""description"": ""A person who has authority over others and is responsible for managing a business or organization.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""janitor"",
      ""relationship"": ""reports to"",
      ""related_concept"": ""boss"",
      ""description"": ""The janitor reports incidents or issues to the boss.""
    },
    {
      ""concept"": ""cashier"",
      ""relationship"": ""caught stealing"",
      ""related_concept"": ""janitor"",
      ""description"": ""The cashier is caught stealing by the janitor.""
    }
  ]
}

[your answer]
{
  ""answer"": ""janitor"",
  ""reasoning"": ""The sentence structure implies that the action of reporting was performed by the subject who caught the
cashier stealing. Since the janitor is the one who caught the cashier, and the action of reporting is directly related to
this event, the janitor is the one who reported the incident to the boss.""
}
</s>"
9,The janitor caught the cashier stealing the money and she asked for mercy.,cashier,she,Who does 'she' refer to?,,,"['janitor', 'cashier']","Question: - The janitor caught the cashier stealing the money and she asked for mercy. Who does 'she' refer to?
Options: - ['janitor', 'cashier']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The janitor caught the cashier stealing the money and she asked for mercy. Who does 'she' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""janitor"",
      ""description"": ""A person employed to clean and maintain buildings.""
    },
    {
      ""name"": ""cashier"",
      ""description"": ""A person who operates a cash register and receives money from customers.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""janitor"",
      ""relationship"": ""catches"",
      ""related_concept"": ""cashier"",
      ""description"": ""The janitor catches the cashier in the act of stealing.""
    },
    {
      ""concept"": ""cashier"",
      ""relationship"": ""asks for mercy"",
      ""related_concept"": ""janitor"",
      ""description"": ""The cashier, after being caught, asks for mercy from the janitor.""
    }
  ]
}

[your answer]
{
  ""answer"": ""cashier"",
  ""reasoning"": ""The sentence structure implies that the subject who is caught and asks for mercy is the same person who is
performing the action of stealing. Since the cashier is the one being caught stealing, she is the one who asks for mercy,
making 'she' refer to the cashier.""
}
</s>"
10,The sheriff asked the accountant many questions because he is a suspicious man.,sheriff,he,Who does 'he' refer to?,,,"['accountant', 'sheriff']","Question: - The sheriff asked the accountant many questions because he is a suspicious man. Who does 'he' refer to?
Options: - ['accountant', 'sheriff']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",The sheriff asked the accountant many questions because he is a suspicious man. Who does 'he' refer to?,"[your concepts list]
{
  ""concepts"": [
    {
      ""name"": ""sheriff"",
      ""description"": ""A law enforcement officer responsible for maintaining order in a specific area.""
    },
    {
      ""name"": ""accountant"",
      ""description"": ""A financial professional responsible for recording, analyzing, and reporting financial information.""
    }
  ]
}

[your relationship list]
{
  ""relationships"": [
    {
      ""concept"": ""sheriff"",
      ""relationship"": ""asks questions"",
      ""related_concept"": ""accountant"",
      ""description"": ""The sheriff is the one asking questions to the accountant.""
    },
    {
      ""concept"": ""accountant"",
      ""relationship"": ""is a"",
      ""related_concept"": ""suspicious man"",
      ""description"": ""The accountant is described as a suspicious man, implying he is the subject of suspicion.""
    }
  ]
}

[your answer]
{
  ""answer"": ""accountant"",
  ""reasoning"": ""The sentence structure implies that the sheriff is asking questions to the accountant because the accountant
is the suspicious man. Therefore, 'he' refers to the accountant.""
}
</s>"
